asset_id,file,asset_name,semantic_category,subject_keywords,visual_style,best_use,caution,width_px,height_px,aspect_ratio_decimal,aspect_ratio_simple,orientation,has_alpha,transparent_pixel_ratio,ppt_crop_behavior,layout_slot_hint,native_editability,scale_caution
RYO26-001,images/image100.png,abacus,finance-calculation,"finance, calculation, statistical input","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-002,images/image101.png,safe box,security-finance,"permissions, storage, financial security","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.249,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-003,images/image102.png,computer mouse,it-operation,"computer operation, click, system use","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-004,images/image103.png,pencil,writing-input,"editing, note taking, input","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-005,images/image104.png,crossed brushes,design-edit,"design, creation, creative work","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-006,images/image105.png,pushpin,pin-marker,"priority, pinned item, reminder","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-007,images/image106.png,pie chart,analytics,"ratio, analysis, report","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-008,images/image107.png,briefcase,business-role,"business, sales, client visit","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-009,images/image108.png,coffee cup,break-informal,"break, light communication, informal moment","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.249,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-010,images/image109.png,scissors,edit-cut,"cut, delete, organize","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.250,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
