asset_id,file,width,height,area,mode,style_family_hint,usage_hint,caution
RYO26-001,images/image100.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-002,images/image101.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-003,images/image102.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-004,images/image103.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-005,images/image104.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-006,images/image105.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-007,images/image106.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-008,images/image107.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-009,images/image108.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-010,images/image109.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-011,images/image110.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-012,images/image111.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-013,images/image112.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
RYO26-014,images/image113.png,56,56,3136,RGBA,flat round business icon,Small app/business icon. Use as low-emphasis category markers or dashboard legends.,Avoid using as official kintone app icons unless provenance is confirmed.
